id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,index fit,120,13,12,37,243,ship,baseline,monotonic-signal,raise-signal
m002,g002,join width,77,39,11,80,257,ship,edge,drag-penalty,drop-slack
m003,g003,constraint risk,64,36,19,71,176,watch,recovery,confidence-floor,raise-drag
m004,g004,plan drift,105,32,14,50,254,ship,negative,lane-boundary,lower-confidence
m005,g005,index fit,50,32,16,64,148,watch,baseline,monotonic-signal,raise-signal
m006,g006,join width,100,24,19,69,222,ship,edge,drag-penalty,drop-slack
m007,g007,constraint risk,45,74,50,33,21,hold,recovery,confidence-floor,raise-drag
m008,g008,plan drift,65,61,14,49,231,ship,negative,lane-boundary,lower-confidence
m009,g009,index fit,88,22,22,81,191,watch,baseline,monotonic-signal,raise-signal
m010,g010,join width,45,29,7,95,208,ship,edge,drag-penalty,drop-slack
m011,g011,constraint risk,76,16,50,21,-45,hold,recovery,confidence-floor,raise-drag
m012,g012,plan drift,51,77,41,18,69,hold,negative,lane-boundary,lower-confidence
m013,g013,index fit,95,75,35,84,249,ship,baseline,monotonic-signal,raise-signal
m014,g014,join width,107,65,19,29,278,ship,edge,drag-penalty,drop-slack
m015,g015,constraint risk,33,44,41,92,41,hold,recovery,confidence-floor,raise-drag
m016,g016,plan drift,43,31,43,72,5,hold,negative,lane-boundary,lower-confidence
m017,g017,index fit,61,27,7,43,184,watch,baseline,monotonic-signal,raise-signal
m018,g018,join width,104,16,32,69,149,watch,edge,drag-penalty,drop-slack
m019,g019,constraint risk,45,30,32,44,34,hold,recovery,confidence-floor,raise-drag
m020,g020,plan drift,63,69,23,23,172,watch,negative,lane-boundary,lower-confidence
m021,g021,index fit,85,21,45,79,66,hold,baseline,monotonic-signal,raise-signal
m022,g022,join width,42,58,15,70,195,watch,edge,drag-penalty,drop-slack
m023,g023,constraint risk,72,26,51,62,3,hold,recovery,confidence-floor,raise-drag
m024,g024,plan drift,91,42,39,50,121,hold,negative,lane-boundary,lower-confidence
m025,g025,index fit,113,25,38,68,154,watch,baseline,monotonic-signal,raise-signal
m026,g026,join width,70,0,39,32,-23,hold,edge,drag-penalty,drop-slack
m027,g027,constraint risk,56,42,48,61,17,hold,recovery,confidence-floor,raise-drag
m028,g028,plan drift,97,25,43,67,96,hold,negative,lane-boundary,lower-confidence
m029,g029,index fit,86,19,4,94,284,ship,baseline,monotonic-signal,raise-signal
m030,g030,join width,70,7,28,20,34,hold,edge,drag-penalty,drop-slack
m031,g031,constraint risk,70,55,48,30,40,hold,recovery,confidence-floor,raise-drag
m032,g032,plan drift,64,41,7,70,245,ship,negative,lane-boundary,lower-confidence
m033,g033,index fit,39,37,34,28,10,hold,baseline,monotonic-signal,raise-signal
m034,g034,join width,105,26,28,91,213,ship,edge,drag-penalty,drop-slack
m035,g035,constraint risk,58,40,33,84,115,hold,recovery,confidence-floor,raise-drag
m036,g036,plan drift,82,9,20,29,111,hold,negative,lane-boundary,lower-confidence
m037,g037,index fit,62,66,4,68,304,ship,baseline,monotonic-signal,raise-signal
m038,g038,join width,86,16,19,43,152,watch,edge,drag-penalty,drop-slack
m039,g039,constraint risk,106,45,35,35,162,watch,recovery,confidence-floor,raise-drag
m040,g040,plan drift,32,21,34,65,1,hold,negative,lane-boundary,lower-confidence
m041,g041,index fit,95,12,17,69,198,watch,baseline,monotonic-signal,raise-signal
m042,g042,join width,117,0,10,61,245,ship,edge,drag-penalty,drop-slack
m043,g043,constraint risk,92,11,15,62,193,watch,recovery,confidence-floor,raise-drag
m044,g044,plan drift,39,49,30,54,80,hold,negative,lane-boundary,lower-confidence
m045,g045,index fit,69,36,42,31,31,hold,baseline,monotonic-signal,raise-signal
m046,g046,join width,74,21,29,60,105,hold,edge,drag-penalty,drop-slack
m047,g047,constraint risk,84,32,31,79,156,watch,recovery,confidence-floor,raise-drag
m048,g048,plan drift,93,35,23,80,221,ship,negative,lane-boundary,lower-confidence
m049,g049,index fit,66,74,24,105,265,ship,baseline,monotonic-signal,raise-signal
m050,g050,join width,86,15,26,29,101,hold,edge,drag-penalty,drop-slack
m051,g051,constraint risk,104,74,35,82,263,ship,recovery,confidence-floor,raise-drag
m052,g052,plan drift,117,31,31,14,155,watch,negative,lane-boundary,lower-confidence
m053,g053,index fit,92,47,13,90,303,ship,baseline,monotonic-signal,raise-signal
m054,g054,join width,113,19,26,83,217,ship,edge,drag-penalty,drop-slack
m055,g055,constraint risk,44,16,41,41,-44,hold,recovery,confidence-floor,raise-drag
m056,g056,plan drift,57,47,19,54,167,watch,negative,lane-boundary,lower-confidence
m057,g057,index fit,120,30,13,42,277,ship,baseline,monotonic-signal,raise-signal
m058,g058,join width,97,13,11,34,199,watch,edge,drag-penalty,drop-slack
m059,g059,constraint risk,50,23,12,77,163,watch,recovery,confidence-floor,raise-drag
m060,g060,plan drift,30,60,31,55,80,hold,negative,lane-boundary,lower-confidence
m061,g061,index fit,120,46,4,60,372,ship,baseline,monotonic-signal,raise-signal
m062,g062,join width,111,31,13,61,280,ship,edge,drag-penalty,drop-slack
m063,g063,constraint risk,105,42,26,66,230,ship,recovery,confidence-floor,raise-drag
m064,g064,plan drift,71,45,44,17,29,hold,negative,lane-boundary,lower-confidence
m065,g065,index fit,67,14,37,59,36,hold,baseline,monotonic-signal,raise-signal
m066,g066,join width,99,60,35,78,221,ship,edge,drag-penalty,drop-slack
m067,g067,constraint risk,35,32,22,92,116,hold,recovery,confidence-floor,raise-drag
m068,g068,plan drift,94,50,27,91,244,ship,negative,lane-boundary,lower-confidence
m069,g069,index fit,48,26,14,28,106,hold,baseline,monotonic-signal,raise-signal
m070,g070,join width,59,6,9,81,166,watch,edge,drag-penalty,drop-slack
m071,g071,constraint risk,73,15,15,26,127,watch,recovery,confidence-floor,raise-drag
m072,g072,plan drift,39,16,9,76,141,watch,negative,lane-boundary,lower-confidence
m073,g073,index fit,79,54,11,82,293,ship,baseline,monotonic-signal,raise-signal
m074,g074,join width,45,30,13,40,125,hold,edge,drag-penalty,drop-slack
m075,g075,constraint risk,80,37,23,66,185,watch,recovery,confidence-floor,raise-drag
m076,g076,plan drift,101,37,40,28,104,hold,negative,lane-boundary,lower-confidence
m077,g077,index fit,124,40,11,33,306,ship,baseline,monotonic-signal,raise-signal
m078,g078,join width,37,0,19,76,55,hold,edge,drag-penalty,drop-slack
m079,g079,constraint risk,46,31,11,67,166,watch,recovery,confidence-floor,raise-drag
m080,g080,plan drift,98,9,40,46,60,hold,negative,lane-boundary,lower-confidence
m081,g081,index fit,48,36,38,60,38,hold,baseline,monotonic-signal,raise-signal
m082,g082,join width,57,41,32,65,101,hold,edge,drag-penalty,drop-slack
m083,g083,constraint risk,70,35,23,29,124,hold,recovery,confidence-floor,raise-drag
m084,g084,plan drift,36,21,31,45,4,hold,negative,lane-boundary,lower-confidence
m085,g085,index fit,75,52,40,77,131,watch,baseline,monotonic-signal,raise-signal
m086,g086,join width,85,24,4,91,289,ship,edge,drag-penalty,drop-slack
m087,g087,constraint risk,98,29,36,103,177,watch,recovery,confidence-floor,raise-drag
m088,g088,plan drift,64,28,22,14,88,hold,negative,lane-boundary,lower-confidence
m089,g089,index fit,59,65,20,80,228,ship,baseline,monotonic-signal,raise-signal
m090,g090,join width,91,40,42,25,77,hold,edge,drag-penalty,drop-slack
m091,g091,constraint risk,71,47,19,88,229,ship,recovery,confidence-floor,raise-drag
m092,g092,plan drift,64,47,41,68,85,hold,negative,lane-boundary,lower-confidence
m093,g093,index fit,73,50,36,39,105,hold,baseline,monotonic-signal,raise-signal
m094,g094,join width,58,8,35,65,22,hold,edge,drag-penalty,drop-slack
m095,g095,constraint risk,112,76,43,40,201,watch,recovery,confidence-floor,raise-drag
m096,g096,plan drift,99,37,38,19,101,hold,negative,lane-boundary,lower-confidence
