id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,index fit,111,13,12,37,225,ship,baseline,monotonic-signal
g002,join width,77,50,11,80,279,ship,edge,drag-penalty
g003,constraint risk,64,36,12,71,211,ship,recovery,confidence-floor
g004,plan drift,105,32,14,63,267,ship,negative,lane-boundary
g005,index fit,41,32,16,64,130,watch,baseline,monotonic-signal
g006,join width,100,35,19,69,244,ship,edge,drag-penalty
g007,constraint risk,45,74,43,33,56,hold,recovery,confidence-floor
g008,plan drift,65,61,14,62,244,ship,negative,lane-boundary
g009,index fit,79,22,22,81,173,watch,baseline,monotonic-signal
g010,join width,45,40,7,95,230,ship,edge,drag-penalty
g011,constraint risk,76,16,43,21,-10,hold,recovery,confidence-floor
g012,plan drift,51,77,41,31,82,hold,negative,lane-boundary
g013,index fit,86,75,35,84,231,ship,baseline,monotonic-signal
g014,join width,107,76,19,29,300,ship,edge,drag-penalty
g015,constraint risk,33,44,34,92,76,hold,recovery,confidence-floor
g016,plan drift,43,31,43,85,18,hold,negative,lane-boundary
g017,index fit,52,27,7,43,166,watch,baseline,monotonic-signal
g018,join width,104,27,32,69,171,watch,edge,drag-penalty
g019,constraint risk,45,30,25,44,69,hold,recovery,confidence-floor
g020,plan drift,63,69,23,36,185,watch,negative,lane-boundary
g021,index fit,76,21,45,79,48,hold,baseline,monotonic-signal
g022,join width,42,69,15,70,217,ship,edge,drag-penalty
g023,constraint risk,72,26,44,62,38,hold,recovery,confidence-floor
g024,plan drift,91,42,39,63,134,watch,negative,lane-boundary
g025,index fit,104,25,38,68,136,watch,baseline,monotonic-signal
g026,join width,70,11,39,32,-1,hold,edge,drag-penalty
g027,constraint risk,56,42,41,61,52,hold,recovery,confidence-floor
g028,plan drift,97,25,43,80,109,hold,negative,lane-boundary
g029,index fit,77,19,4,94,266,ship,baseline,monotonic-signal
g030,join width,70,18,28,20,56,hold,edge,drag-penalty
g031,constraint risk,70,55,41,30,75,hold,recovery,confidence-floor
g032,plan drift,64,41,7,83,258,ship,negative,lane-boundary
g033,index fit,30,37,34,28,-8,hold,baseline,monotonic-signal
g034,join width,105,37,28,91,235,ship,edge,drag-penalty
g035,constraint risk,58,40,26,84,150,watch,recovery,confidence-floor
g036,plan drift,82,9,20,42,124,hold,negative,lane-boundary
g037,index fit,53,66,4,68,286,ship,baseline,monotonic-signal
g038,join width,86,27,19,43,174,watch,edge,drag-penalty
g039,constraint risk,106,45,28,35,197,watch,recovery,confidence-floor
g040,plan drift,32,21,34,78,14,hold,negative,lane-boundary
g041,index fit,86,12,17,69,180,watch,baseline,monotonic-signal
g042,join width,117,10,10,61,265,ship,edge,drag-penalty
g043,constraint risk,92,11,8,62,228,ship,recovery,confidence-floor
g044,plan drift,39,49,30,67,93,hold,negative,lane-boundary
g045,index fit,60,36,42,31,13,hold,baseline,monotonic-signal
g046,join width,74,32,29,60,127,watch,edge,drag-penalty
g047,constraint risk,84,32,24,79,191,watch,recovery,confidence-floor
g048,plan drift,93,35,23,93,234,ship,negative,lane-boundary
g049,index fit,57,74,24,105,247,ship,baseline,monotonic-signal
g050,join width,86,26,26,29,123,hold,edge,drag-penalty
g051,constraint risk,104,74,28,82,298,ship,recovery,confidence-floor
g052,plan drift,117,31,31,27,168,watch,negative,lane-boundary
g053,index fit,83,47,13,90,285,ship,baseline,monotonic-signal
g054,join width,113,30,26,83,239,ship,edge,drag-penalty
g055,constraint risk,44,16,34,41,-9,hold,recovery,confidence-floor
g056,plan drift,57,47,19,67,180,watch,negative,lane-boundary
g057,index fit,111,30,13,42,259,ship,baseline,monotonic-signal
g058,join width,97,24,11,34,221,ship,edge,drag-penalty
g059,constraint risk,50,23,5,77,198,watch,recovery,confidence-floor
g060,plan drift,30,60,31,68,93,hold,negative,lane-boundary
g061,index fit,111,46,4,60,354,ship,baseline,monotonic-signal
g062,join width,111,42,13,61,302,ship,edge,drag-penalty
g063,constraint risk,105,42,19,66,265,ship,recovery,confidence-floor
g064,plan drift,71,45,44,30,42,hold,negative,lane-boundary
g065,index fit,58,14,37,59,18,hold,baseline,monotonic-signal
g066,join width,99,71,35,78,243,ship,edge,drag-penalty
g067,constraint risk,35,32,15,92,151,watch,recovery,confidence-floor
g068,plan drift,94,50,27,104,257,ship,negative,lane-boundary
g069,index fit,39,26,14,28,88,hold,baseline,monotonic-signal
g070,join width,59,17,9,81,188,watch,edge,drag-penalty
g071,constraint risk,73,15,8,26,162,watch,recovery,confidence-floor
g072,plan drift,39,16,9,89,154,watch,negative,lane-boundary
g073,index fit,70,54,11,82,275,ship,baseline,monotonic-signal
g074,join width,45,41,13,40,147,watch,edge,drag-penalty
g075,constraint risk,80,37,16,66,220,ship,recovery,confidence-floor
g076,plan drift,101,37,40,41,117,hold,negative,lane-boundary
g077,index fit,115,40,11,33,288,ship,baseline,monotonic-signal
g078,join width,37,9,19,76,73,hold,edge,drag-penalty
g079,constraint risk,46,31,4,67,201,watch,recovery,confidence-floor
g080,plan drift,98,9,40,59,73,hold,negative,lane-boundary
g081,index fit,39,36,38,60,20,hold,baseline,monotonic-signal
g082,join width,57,52,32,65,123,hold,edge,drag-penalty
g083,constraint risk,70,35,16,29,159,watch,recovery,confidence-floor
g084,plan drift,36,21,31,58,17,hold,negative,lane-boundary
g085,index fit,66,52,40,77,113,hold,baseline,monotonic-signal
g086,join width,85,35,4,91,311,ship,edge,drag-penalty
g087,constraint risk,98,29,29,103,212,ship,recovery,confidence-floor
g088,plan drift,64,28,22,27,101,hold,negative,lane-boundary
g089,index fit,50,65,20,80,210,ship,baseline,monotonic-signal
